    PID USER       RSS
      1 root     10240
      2 root         0
      3 root         0
      4 root         0
      6 root         0
      8 root         0
      9 root         0
     10 root         0
     11 root         0
     12 root         0
     14 root         0
     15 root         0
     16 root         0
     17 root         0
     18 root         0
     19 root         0
     20 root         0
     21 root         0
     22 root         0
     23 root         0
     24 root         0
     70 root         0
     71 root         0
     72 root         0
     73 root         0
     74 root         0
     75 root         0
     76 root         0
     77 root         0
     78 root         0
     80 root         0
     81 root         0
     83 root         0
     84 root         0
     85 root         0
     86 root         0
     87 root         0
     88 root         0
     89 root         0
     91 root         0
     93 root         0
    102 root         0
    105 root         0
    118 root         0
    152 root         0
    198 root         0
    238 root         0
    239 root         0
    274 root         0
    311 root     10180
    345 root      4720
    435 root         0
    436 root         0
    437 root         0
    438 root         0
    439 root     18000
    451 root         0
    453 root         0
    454 root         0
    474 systemd+  3456
    530 systemd+  4144
    542 systemd+  7736
    627 root      4352
    631 root      2340
    635 message+  4232
    642 root     10912
    643 root      4784
    656 root      5928
    658 root      5944
    659 daemon    2048
    693 root      3968
    702 root      1732
    711 root      1636
    721 root     10464
    723 root      1492
   3253 root      3932
   7863 syslog    2040
  13372 root         0
  13374 root         0
  18322 root       576
  19226 root         0
  29016 root         0
  51632 18njp    24376
  58147 18njp     4716
  58158 18njp     4852
 129940 root         0
 130000 root     19872
 206657 root         0
 206971 18njp      580
 206981 18njp    103744
 207044 18njp    58452
 207079 root      9388
 207162 18njp     6780
 207163 18njp     3476
 207216 18njp    127720
 207227 18njp    53132
 235789 18njp    61468
 235980 root      9356
 236085 18njp     6392
 236086 18njp     5228
 286498 root         0
 286540 root     32604
 286547 root         0
 286555 root         0
 289247 18njp      580
 289250 18njp     3232
